name	id	firstAuthor	title	subtitle	normalizedGenre	yearNormalized	size	libretto	averageClustering	density	averagePathLength	maxDegreeIds	averageDegree	diameter	yearPremiered	yearPrinted	maxDegree	numOfSpeakers	numOfSpeakersFemale	numOfSpeakersMale	numOfSpeakersUnknown	numPersonGroups	numConnectedComponents	yearWritten	numOfSegments	wikipediaLinkCount	numOfActs	wordCountText	wordCountSp	wordCountStage	numOfP	numOfL
wedekind-koenig-nicolo	ger000191	Wedekind	König Nicolo oder So ist das Leben	Schauspiel in drei Aufzügen und neun Bildern mit einem Prolog		1902	30	false	0.876295522	0.305747126	1.694252874	koenig_nicolo	8.866666667	2	1902	1902	29	30	2	25	3		1	1901	10	0	3	19243	18499	2338	395	380
weissenthurn-das-manuscript	ger000340	Weißenthurn	Das Manuscript	Lustspiel in fünf Aufzügen	Comedy	1817	15	false	0.78015873	0.371428571	1.780952381	flint|walter	5.2	3		1817	10	15	6	9	0		1		34	0	5	20961	20587	2213	1280	0
weissenthurn-die-schwestern-st-janvier	ger000213	Weißenthurn	Die Schwestern St. Janvier	Schauspiel in fünf Aufzügen		1821	27	false	0.809615167	0.299145299	1.965811966	diakue	7.777777778	4		1821	17	27	7	18	2		1		39	0	5	16508	15889	1613	0	2075
weissenthurn-johann-herzog-von-finnland	ger000456	Weißenthurn	Johann. Herzog von Finnland	Schauspiel in fünf Aufzügen. nach der Geschichte. mit den nöthigen theatralischen Änderungen		1811	23	false	0.761153481	0.335968379	1.814229249	joeran	7.391304348	4	1811	1817	18	23	2	21	0		1		38	0	5	21636	21093	2372	933	0
weissenthurn-welche-ist-die-braut	ger000394	Weißenthurn	Welche ist die Braut!	Ein Lustspiel in fünf Aufzügen	Comedy	1813	21	false	0.921276873	0.738095238	1.266666667	bluemlein|waldberg|baroninn	14.76190476	3	1813	1817	19	21	12	8	1		1		31	0	5	23855	23402	1523	1390	112
wieland-alceste	ger000373	Wieland	Alceste	Ein Singspiel in fünf Aufzügen		1773	5	true	1	1	1	several characters	4	1	1773	1773	4	5	2	2	1		1		5	2	5	6156	6065	422	0	982
wieland-klementina-von-porretta	ger000148	Wieland	Klementina von Porretta	Ein Drama aus Richardsons Geschichte Sir Karl Grandisons gezogen		1760	11	false	0.83037518	0.781818182	1.218181818	pater_mareskotti|grandison	7.818181818	2		1760	10	11	4	7	0		1	1759	63	0	5	23994	23428	1385	374	0
wieland-lady-johanna-gray	ger000445	Wieland	Lady Johanna Gray oder Der Triumf der Religion	Ein Trauerspiel	Tragedy	1758	8	false	0.84702381	0.678571429	1.321428571	lady_suffolk|lady_johanna	4.75	2	1758	1758	7	8	3	5	0		1	1757/1758	30	0	5	14881	14660	225	0	2151
wildenbruch-die-haubenlerche	ger000240	Wildenbruch	Die Haubenlerche	Schauspiel in vier Akten		1890	7	false	1	1	1	several characters	6	1	1890	1891	6	7	3	4	0		1		33	0	4	29716	28812	6551	1826	11
wildenbruch-die-karolinger	ger000439	Wildenbruch	Die Karolinger	Trauerspiel in vier Akten	Tragedy	1881	33	false	0.817889156	0.401515152	1.939393939	bernhard	12.84848485	5	1881	1881	25	33	1	32	0		1		40	0	4	18246	16887	2175	0	2398
wildenbruch-die-quitzows	ger000172	Wildenbruch	Die Quitzows	Schauspiel in vier Akten		1888	62	false	0.766512481	0.197778953	2.01480698	perwenitz	12.06451613	4	1888	1888	41	62	7	50	5		1		72	0	7	30691	28730	5087	1134	1566
wildgans-armut	ger000187	Wildgans	Armut	Ein Trauerspiel in fünf Akten	Tragedy	1914	12	false	0.847751323	0.545454545	1.46969697	marie|mutter|gottfried	6	3	1915	1914	10	12	2	8	2		1		5	0	5	17292	16113	4448	646	384
wildgans-dies-irae	ger000428	Wildgans	Dies irae	Eine Tragödie in fünf Akten	Tragedy	1918	15	false	0.872022792	0.495238095	1.504761905	rabanser	6.933333333	2	1919	1918	13	15	6	8	1		1	1916/1918	5	0	5	24595	22772	7667	856	473
wildgans-in-ewigkeit-amen	ger000163	Wildgans	In Ewigkeit Amen	Ein gerichtliches Vorspiel in einem Akt		1913	8	false	1	1	1	several characters	7	1	1913	1913	7	8	1	7	0		1	1912	1	0	1	9223	8998	2160	322	0
