Personen	NN	Person
zur	APPRART	zu
Mansarde	NN	Mansarde
.	$.	.
Ist	VAFIN	sein
's	PPER	es
wirklich	ADJD	wirklich
schon	ADV	schon
so	ADV	so
lang	ADJD	lang
?	$.	?
GRAF	NE	Graf
.	$.	.
Na	ITJ	na
was	PIS	was
machst	VVFIN	machen
dich	PPER	du
denn	ADV	denn
so	ADV	so
rar	ADJD	rar
?	$.	?
FÜRST	NN	Fürst
.	$.	.
Sei	VAFIN	sein
nicht	PTKNEG	nicht
bös	ADJD	bös
'	$(	'
.	$.	.
Es	PPER	es
ist	VAFIN	sein
ja	ADV	ja
wahr	ADJD	wahr
.	$.	.
Und	KON	und
heut	VVFIN	heuen
komm	VVIMP	kommen
'	$(	'
ich	PPER	ich
eigentlich	ADV	eigentlich
nur	ADV	nur
dir	PPER	du
adieu	ADV	adieu
sagen	VVINF	sagen
.	$.	.
GRAF	NE	Graf
.	$.	.
Wie	KOUS	wie
,	$,	,
adieu	ADV	adieu
?	$.	?
FÜRST	NN	Fürst
.	$.	.
Morgen	ADV	morgen
fahr	VVIMP	fahren
'	$(	'
ich	PPER	ich
nämlich	ADV	nämlich
fort	PTKVZ	fort
.	$.	.
GRAF	NE	Graf
.	$.	.
Du	PPER	du
fährst	VVFIN	fahren
fort	PTKVZ	fort
?	$.	?
Wohin	PWAV	wohin
denn	ADV	denn
?	$.	?
FÜRST	NN	Fürst
.	$.	.
An	APPR	an
die	ART	die
See	NN	See
.	$.	.
Und	KON	und
ihr	PPOSAT	ihr
...	$.	...
habt	VAFIN	haben
ihr	PPER	ihr
noch	ADV	noch
nichts	PIS	nichts
vor	PTKVZ	vor
?	$.	?
GRAF	NE	Graf
.	$.	.
Ich	PPER	ich
hab	VAIMP	haben
'	$(	'
noch	ADV	noch
gar	ADV	gar
nicht	PTKNEG	nicht
drüber	PAV	drüber
nachgedacht	VVPP	nachdenken
...	$.	...
das	ART	die
Jahr	NN	Jahr
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Nun	ADV	nun
ja	ADV	ja
,	$,	,
ihr	PPER	ihr
habt	VAFIN	haben
es	PPER	es
hier	ADV	hier
heraußen	VVFIN	<UNKNOWN>
so	ADV	so
wunderschön	ADJD	wunderschön
...	$.	...
der	ART	die
Riesenpark	NN	Riesenpark
!	$.	!
Aber	KON	aber
irgend	ADV	irgend
wohin	PWAV	wohin
wirst	VAFIN	werden
du	PPER	du
ja	ADV	ja
doch	ADV	doch
im	APPRART	in
Sommer	NN	Sommer
reisen	VVINF	reisen
.	$.	.
GRAF	NE	Graf
.	$.	.
Ich	PPER	ich
weiß	VVFIN	wissen
noch	ADV	noch
nicht	PTKNEG	nicht
.	$.	.
Ist	VAFIN	sein
ja	ADV	ja
alles	PIS	alle
egal	ADJD	egal
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Was	PWS	was
hast	VAFIN	haben
du	PPER	du
denn	ADV	denn
?	$.	?
GRAF	NE	Graf
.	$.	.
Lieber	ADJD	lieb
alter	ADJA	alt
Freund	NN	Freund
,	$,	,
bergab	ADV	bergab
geht	VVFIN	gehen
's	PPER	es
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Wieso	PWAV	wieso
?	$.	?
Was	PWS	was
sind	VAFIN	sein
das	PDS	die
für	APPR	für
komische	ADJA	komisch
Ausdrücke	NN	Ausdruck
,	$,	,
Arpad	NE	Arpad
?	$.	?
Was	PWS	was
heißt	VVFIN	heißen
das	ART	die
»	NN	»
bergab	ADV	bergab
«	ADJD	«
?	$.	?
GRAF	NE	Graf
.	$.	.
Alt	ADJD	alt
wird	VAFIN	werden
man	PIS	man
,	$,	,
Egon	NE	Egon
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Ja	PTKANT	ja
.	$.	.
Aber	KON	aber
man	PIS	man
gewöhnt	VVFIN	gewöhnen
's	PPER	es
.	$.	.
GRAF	NE	Graf
.	$.	.
Was	PWS	was
hast	VAFIN	haben
