Ouvertüre	NN	Ouvertüre
REICH	ADJD	reich
.	$.	.
Kommt	VVFIN	kommen
,	$,	,
Sohn	NN	Sohn
Spärlich	ADJD	spärlich
,	$,	,
die	ART	die
Frauen	NN	Frau
erwarten	VVFIN	erwarten
uns	PPER	wir
!	$.	!
Er	PPER	er
will	VMFIN	wollen
in	APPR	in
sein	PPOSAT	sein
Haus	NN	Haus
.	$.	.
Vierter	ADJA	viert
Auftritt	NN	Auftritt
Die	ART	die
Vorigen	NN	Vorige
.	$.	.
Fenton	NN	Fenton
.	$.	.
FENTON	NN	FENTON
.	$.	.
Vergönnt	VVFIN	vergönnen
mir	PPER	ich
ein	ART	eine
Wort	NN	Wort
,	$,	,
Herr	NN	Herr
Reich	NE	Reich
!	$.	!
REICH	ADJD	reich
beiseite	PTKVZ	beiseite
.	$.	.
Schon	ADV	schon
wieder	ADV	wieder
dieser	PDAT	dies
überlästige	ADJA	überlästige
Fenton	NN	Fenton
!	$.	!
Laut	ADJD	laut
.	$.	.
Was	PWS	was
wünschet	VVFIN	wünschet
Ihr	PPER	sie
?	$.	?
FENTON	NN	FENTON
.	$.	.
Einen	ART	eine
Augenblick	NN	Augenblick
allein	ADV	allein
mit	APPR	mit
Euch	PPER	ihr
zu	PTKZU	zu
reden	VVINF	reden
.	$.	.
Nr	NE	<UNKNOWN>
.	$.	.
2.	ADJA	2.
Rezitativ	NN	Rezitativ
und	KON	und
Duett	NN	Duett
REICH	ADJD	reich
zu	APPR	zu
Spärlich	ADJD	spärlich
.	$.	.
So	ADV	so
geht	VVFIN	gehen
indes	ADV	indes
hinein	PTKVZ	hinein
,	$,	,
mein	PPOSAT	mein
lieber	ADJA	lieb
Schwiegersohn	NN	Schwiegersohn
,	$,	,
Ich	PPER	ich
werde	VAFIN	werden
bald	ADV	bald
Euch	PPER	ihr
folgen	VVFIN	folgen
.	$.	.
SPÄRLICH	ADJD	spärlich
im	APPRART	in
Abgehen	NN	Abgehen
in	APPR	in
Reichs	NE	Reich
Haus	NN	Haus
,	$,	,
mit	APPR	mit
Karikatur	NN	Karikatur
.	$.	.
O	NN	O
süße	ADJA	süß
Anna	NN	Anna
!	$.	!
CAJUS	NN	CAJUS
wütend	ADJD	wütend
.	$.	.
Swiekersohn	NN	Swiekersohn
!	$.	!
Swiekersohn	NN	Swiekersohn
!	$.	!
Mort	ADJA	Mort
de	NE	de
ma	NE	ma
vie	VVFIN	vie
!	$.	!
Nock	NN	Nock
sein	VAINF	sein
wir	PPER	wir
nick	VVIMP	nicken
so	ADV	so
weit	ADJD	weit
!	$.	!
Ick	ADJD	Ick
werde	VAFIN	werden
bringen	VVINF	bringen
um	APPR	um
ce	ADJA	ce
Monsieur	NN	Monsieur
Sperlik	NN	Sperlik
Und	KON	und
ick	ADJD	ick
wollen	VMFIN	wollen
