[	$(	[
nannte	VVFIN	nennen
,	$,	,
räudig	ADJD	räudig
sticht	VVFIN	stechen
.	$.	.
Er	PPER	er
klopft	VVFIN	klopfen
an	APPR	an
der	ART	die
Königin	NN	Königin
Tritina	NE	Tritina
Gruft	NN	Gruft
.	$.	.
Frau	NN	Frau
Gemahlin	NN	Gemahlin
auf	APPR	auf
ein	ART	eine
Wort	NN	Wort
!	$.	!
–	ADJA	–
Machen	NN	Machen
Sie	PPER	Sie
nicht	PTKNEG	nicht
lange	ADV	lange
!	$.	!
brauchen	VVFIN	brauchen
nicht	PTKNEG	nicht
vor	APPR	vor
der	ART	die
Toilette	NN	Toilette
zu	APPR	zu
sizen	ADJA	sizen
,	$,	,
und	KON	und
viel	ADV	viel
zu	PTKZU	zu
schminken	VVINF	schminken
.	$.	.
Hab	NN	Hab
die	ART	die
Ehre	NN	Ehre
mit	APPR	mit
dürren	ADJA	dürr
,	$,	,
hohlen	ADJA	hohl
Kiefern	NN	Kiefer
zu	APPR	zu
paradiren	NN	paradiren
,	$,	,
wie	KOUS	wie
Sie	PPER	Sie
–	ADJA	–
KÖNIGIN	NN	Königin
TRITINA	NE	TRITINA
aus	APPR	aus
der	ART	die
Gruft	NN	Gruft
.	$.	.
Ey	NE	Ey
,	$,	,
sind	VAFIN	sein
Sie	PPER	Sie
da	ADV	da
Herr	NN	Herr
Gemahl	NN	Gemahl
!	$.	!
Ich	PPER	ich
hab	VAIMP	haben
schon	ADV	schon
lange	ADV	lange
auf	APPR	auf
Sie	PPER	Sie
gewartet	VVPP	warten
!	$.	!
Es	PPER	es
ist	VAFIN	sein
ein	ART	eine
sonderbares	ADJA	sonderbar
Leben	NN	Leben
hier	ADV	hier
!	$.	!
Das	ART	die
Zimmer	NN	Zimmer
ist	VAFIN	sein
etwas	ADV	etwas
eng	ADJD	eng
,	$,	,
und	KON	und
schlecht	ADJD	schlecht
tapizirt	NN	tapizirt
.	$.	.
Man	PIS	man
lebt	VVFIN	leben
so	ADV	so
still	ADJD	still
–	ADJD	–
Indessen	ADV	indessen
Sie	PPER	Sie
wissen	VVINF	wissen
,	$,	,
ich	PPER	ich
laß	ADJD	laß
mich	PRF	ich
nicht	PTKNEG	nicht
gern	ADV	gern
vor	APPR	vor
meinem	PPOSAT	mein
Gemahl	NN	Gemahl
ohne	APPR	ohne
Puz	NN	Puz
sehen	VVINF	sehen
.	$.	.
Nur	ADV	nur
die	ART	die
